date,weight
2026-01-08,153.0
2026-01-20,153.0
2026-04-26,154.2
2026-04-27,153.8
2026-05-04,156.5
2026-05-05,157.4
2026-05-07,157.2
2026-05-08,156.9
2026-05-09,155.2
2026-05-11,155.8
2026-08-29,158.0
2026-08-30,156.5
2026-09-01,156.5
2026-09-02,160.8
2026-09-03,156.1
2026-09-04,157.5
2026-09-07,156.0
2026-09-09,159.6
2026-09-10,160.8
2026-09-11,159.4
2026-09-12,159.8
2026-09-14,161.5
2026-09-15,160.9
2026-09-16,160.7
2026-09-17,161.2
2026-09-18,160.8
2026-09-19,161.4
